澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/4,17.74,256.00,97.36 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/4,35.82,1280.16,79.38 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/4,44.52,376.28,50.09 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/4,137.30,2040.22,77.25 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/4,5.45,29.50,24.38 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/4,6.40,17.50,23.93 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/4,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/4,10.90,13.60,58.85 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/4,18.80,0.25,0.86 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/5,244.66,19618.32,98.52 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/5,70.81,31.86,72.92 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/5,85.62,956.00,95.41 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/5,166.61,30440.81,90.73 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/5,139.18,394.94,73.41 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/5,135.05,1317.73,41.87 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/5,72.53,1286.10,42.89 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/5,67.81,345.36,65.17 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/5,51.18,253.58,19.87 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/5,290.67,7852.84,68.3 %
德基水庫,2018,臺灣中區,臺中市和平區,1/5,1405.90,14218.93,94.79 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/5,272.11,33.58,25.27 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/5,1004.26,4177.65,95.69 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/5,748.03,12561.37,97.16 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/5,100.57,1559.73,61.6 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/5,71.14,611.65,66.07 %
白河水庫,2018,臺灣南區,臺南市白河區,1/5,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/5,55.34,5315.00,67.9 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/5,213.20,24257.00,52.44 %
南化水庫,2018,臺灣南區,臺南市南化區,1/5,174.75,6997.50,73.66 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/5,140.75,76.09,73.87 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/5,17.78,261.00,99.26 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/5,35.81,1277.48,79.21 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/5,44.48,374.15,49.81 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/5,137.27,2036.67,77.11 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/5,5.44,29.36,24.26 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/5,6.30,16.80,22.97 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/5,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/5,10.90,13.60,58.85 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/5,18.70,0.22,0.78 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/6,244.58,19549.52,98.18 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/6,70.73,31.19,71.39 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/6,85.62,956.00,95.41 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/6,166.70,30520.40,90.97 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/6,139.20,396.02,73.61 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/6,135.00,1313.27,41.73 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/6,72.40,1272.86,42.44 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/6,67.84,348.24,65.72 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/6,51.16,252.53,19.79 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/6,290.58,7821.92,68.03 %
德基水庫,2018,臺灣中區,臺中市和平區,1/6,1405.76,14162.55,94.42 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/6,272.23,37.90,28.52 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/6,1004.38,4207.94,96.38 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/6,747.94,12488.41,96.59 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/6,100.49,1543.14,60.95 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/6,71.14,611.65,66.07 %
白河水庫,2018,臺灣南區,臺南市白河區,1/6,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/6,55.27,5259.00,67.18 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/6,213.22,24285.00,52.5 %
南化水庫,2018,臺灣南區,臺南市南化區,1/6,174.68,6966.30,73.33 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/6,140.74,75.99,73.78 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/6,17.82,264.00,100 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/6,35.83,1282.84,79.54 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/6,44.43,371.50,49.46 %
