台灣集團名稱,中港上市公司名稱,項目,董事長,總經理,行業別,台資,上市地點,股票代號,上市年份,幣別,狀態,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,記載欄位,備註,年報網址
湯臣,湯臣集團有限公司,,,,,,香港,258,,港幣,無補助,,,,,,,,,,,,,湯臣電影公司，投資過《霸王別姬》,http://www.tomson.com.hk/financial_report_tc.asp
勤美集團,勤美達國際控股有限公司,,,,,,香港,319,,美元,已下市,,,,,,,,,無,,,,,
,勤美達國際控股有限公司,,,,,,,,,美元,,,,,,,,346855000,309506000,303125000,,,,,
,華顯光電（唯冠國際控股有限公司）,,廖骞,TCL集团公司,资讯科技器材,,香港,334,,人民幣,,,,,,無,無,無,12745000,4798000,39817000,7749000,,補貼收入指中國內地相關政府給予的多項政府撥款以支持本集團發展相關項目。管理層認為，該等撥款並無任何相關之尚未 達成條件或備用情況。,
,華顯光電（唯冠國際控股有限公司）,,,,,,,,,人民幣,,,,,,無,無,無,3688161000,3678153000,3464573000,5280861000,,,
,富陽(中國)控股有限公司,,,,,,香港,352,,人民幣,無補助,,,,,,,,,,,,,,
新焦點,新焦點汽車技術控股有限公司,,杜敬磊,"CDH Fund IV, L.P.",支援服务,,香港,360,,人民幣,,,,,,2586000,932000,1658000,107000,2058000,578000,1152000,,該結餘指就中國若干附屬公司繳付的稅項自地方政府獲取的補償收入以及中國地方政府給予的補助,
,新焦點汽車技術控股有限公司,,,,,,,,,人民幣,,,,,,1397885000,1414616000,1397498000,1254191000,1292665000,1267928000,1792548000,,,
,越南製造加工出口(控股)有限公司,,,,,,香港,422,,人民幣,無補助,,,,,,,,,,,,,,
,敏實集團有限公司,補助款,秦荣华,魏清莲,汽车,y,香港,425,,人民幣,OK,44789000,4346000,45449000,74671000,55121000,54598000,109573000,90675000,74960000,140291000,115717000,,該等金額指中國當地政府機關授予集團實體的多項獎勵補助，以獎勵在質量監控或環保方面表現良好或從事高科技產業及產品開發活 動的集團實體。政府補助為無條件亦已獲中國當地政府機關批准。,
,敏實集團有限公司,營收,秦荣华,魏清莲,,y,,,,人民幣,,1966464000,2544680000,3575594000,3889405000,4329906000,5510385000,6683880000,7654123000,9399992000,11384495000,12553202000,,,
,凱普松國際電子有限公司,補助款,林金村,林金村,工业工程,y,香港,469,,人民幣,OK,8595000,605000,無,1500000,2240000,246000,2412000,7183000,3728000,6689000,10277000,,"截至二零一八年十二月三十一日止年度，本集團確認政府補助人民幣10,277,000元(二零一七年:人民幣6,617,000 元)，其為獎勵從事電容器產品之生產。此外，該金額亦包括截至二零一七年十二月三十一日止年度之解除遞延收入 人民幣72,000元。遞延收入之詳情載於附註28。",
,凱普松國際電子有限公司,營收,林金村,林金村,,y,,,,人民幣,,912642000,775053000,1045812000,1119603000,970975000,1072741000,989625000,849118000,946643000,1069104000,1202237000,,,
,聖馬丁國際控股有限公司,,刘幼祥,万基证券有限公司,家庭电器及用品,,香港,482,,港幣,,,,,,無,無,無,無,無,-439000,-955000,,,
,聖馬丁國際控股有限公司,,,,,,,,,港幣,,,,,,,,,,,1544838000,1300358000,,,
,瀚智集團有限公司,,,,,,香港,516,,港幣,已下市,,,,,,,,,,,,,,
,順誠控股有限公司,,,,,,香港,531,,美元/港元*,無補助,,,,,,,,,,,無,,,
,裕元工業(集團)有限公司,,,,,,香港,551,,美元,無補助,,,,,,,,,,9121400000,9695300000,,,
,安域亞洲（港台集團有限公司）,,,,,,香港,645,,美元,無補助,,,,,,,,,,,,,,
,創信國際控股有限公司,,,,,,香港,676,,美元,無補助,,,,,,,,,,,,,,
合晶集團,陽光能源控股有限公司,,谭文华,Hiramatsu Hiroharu,工业工程,,香港,757,,人民幣,,,,,,41033000,24654000,33274000,22530000,20913000,29089000,46184000,6. 其他收入及收益，淨額,,
,陽光能源控股有限公司,,,,,,,,,人民幣,,,,,,996836000,2150328000,2864699000,2899550000,3020976000,3999616000,4022452000,,,
,仁天科技控股（福方集團有限公司）,,景百孚,,软件服务,,香港,885,,港幣,,,,,,無,無,536000,7634000,8736000,14687000,13667000,,政府補助指對本公司若干位於中國之附屬公 司作出之獎勵，毋須遵守其他義務及條件。,
,仁天科技控股（福方集團有限公司）,,,,,,,,,港幣,,,,,,2189000,13234000,525517000,904096000,1203580000,1531414000,1134936000,,,
,冠捷科技有限公司,,宣建生,中国电子信息产业集团有限公司,资讯科技器材,,香港,903,,美元,,,,,,30674000,35530000,32684000,38776000,36061000,31424000,46661000,,財務退款、政府資助及技術創新補貼來自政府。,
,冠捷科技有限公司,,,,,,,,,美元,,,,,,11974836000,11972698000,11681427000,11061525000,9808337000,9584710000,9147635000,,,
,道和環球（林麥集團有限公司）,,周希俭,周希俭,工用支援,,香港,915,,美元,無補助,,,,,,,,,,,,,,
,榮暉國際集團有限公司,,游振华,,原材料,,香港,990,,美元,無補助,,,,,,,,,,,,,,
,林達控股（福邦控股有限公司）,,谢炳,一带一路金融有限公司,其他金融,,香港,1041,,美元,無補助,,,,,,,,,,,,,,
華固,美亞控股有限公司,,李国梁,陈威 林锦和,一般金属及矿石,,香港,1116,,人民幣,,,,,,1028000,367000,648000,507000,1000000,1852000,1172000,,因支持本集團經營及鼓勵創新生產技術而獲地方政府機關發放政府補貼，享有該等補貼乃無條件。,
,美亞控股有限公司,,,,,,,,,人民幣,,,,,,498478000,561105000,541360000,420225000,388678000,367107000,426149000,,,
,中國水業集團有限公司,,林岳辉,邓俊杰,公用事业,,香港,1129,,港幣,,,,,,90319000,95980000,19237000,17256000,29550000,24803000,30721000,,,
,中國水業集團有限公司,,,,,,,,,港幣,,,,,,327885000,510959000,507963000,528586000,550646000,701524000,950166000,,"2014年政府補助款減少76,740,000港元，主要是由於宜春供水償 還政府補助款61,770,000港元所致。除該債券以港元計值外，借貸主要以人民幣計值。",
,德金資源,,,,,,香港,1163,,港幣,已下市,,,,,,,,,,,,,,
,信星鞋業集團有限公司,,,,,,香港,1170,,港幣,無補助,,,,,,,,,,,,,,
,新灃集團有限公司,,郑盾尼,李华熙,纺织、服饰及个人护理,,香港,1223,,港幣,,,,,,-35527000,無,無,1695000,1801000,901000,2030000,, 本集團獲授來自中國相關政府部門的補 助，以支持本集團於中國的零售業務。就 取得該補助而言，並無未完成的條件。／在沈陽開辦業務而 獲沈北政府發出的獎勵性基建補貼（未有明細，跟中山出售土地的收益併列）,
,新灃集團有限公司,,,,,,,,,港幣,,,,,,1967574000,219165000,263831000,351067000,363856000,348919000,381848000,,,
,隆成集團(控股)有限公司,,,,,,香港,1225,,港幣,無補助,,,,,,,,,,,,,,
台一國際,企展控股（台一國際控股有限公司）,,,,,,香港,1808,,港幣,無補助,,,,,,,,,,,,,,
,九興控股有限公司,補助款,陈立民,Cordwalner Bonaventure Inc.,纺织、服饰及个人护理,y,香港,1836,,美元／人民幣*,OK,無,無,無,無,無,111000*,無,6105000,6512000,7213000,6961000,,"我們已自中國當地政府機關收取作為補償營運開支的政府補助。並無未達成與該等補助有關的附帶條件，亦無或然項目。／於二零一三年，我們獲得政府提供人民幣 111,000元以提供培訓材料。",
,九興控股有限公司,營收,陈立民,Cordwalner Bonaventure Inc.,,y,,,,美元／人民幣*,,,,,,,1541471000,,1769852000,1550864000,1577270000,1588583000,,,
真明麗,同方友友（真明麗控股有限公司）,,黄俞,同方股份有限公司,家庭电器及用品,,香港,1868,,人民幣,,,,,,10428000,23206000,15811000,2250000,無,6459000,51540000,,,
,同方友友（真明麗控股有限公司）,,,,,,,,,人民幣,,,,,,1083835000,827039000,558173000,602438000,611243000,665724000,693698000,,,
大洋集團,大洋集團控股有限公司,補助款,施琦,施琦,工业工程,y,香港,1991,,港幣,OK,264000,1361000,1853000,1592000,1121000,4597000,1980000,271000,124000,33000,451000,,"於二零一三年，本集團就發展高分辨率柔 性電路板技術收到東莞市科學技術局給予 約2,962,000港元的政府補貼金(「補助金 乙」)。年內，該項技術的專利登記已完成。 截至二零一八年七月三十一日止年度，遞 延收入約144,000港元(二零一七年:不適 用)已就補助金乙於綜合損益表確認。／2006年，本集團於附屬公司湖洲大洋電子科技有限公司的經擴大投資可獲政府一筆一次性補助金。",
,大洋集團控股有限公司,營收,施琦,施琦,,y,,,,港幣,,744908000,620251000,812093000,787348000,624525000,551326000,467264000,426242000,386516000,400500000,33160000,,,
台表科,峻凌國際控股有限公司,,,,,,香港,1997,2007,港幣,已下市,,,,,,,,,,,,,,
味丹集團,味丹國際(控股)有限公司,補助款,杨头雄,Billion Power Limited,食物饮品,y,香港,2317,2003,美元,OK,,,,,無,無,無,無,無,392000,219000,,,
,味丹國際(控股)有限公司,營收,杨头雄,Billion Power Limited,,y,,,,美元,,,,,,,,,,,322805000,356772000,,,
寶成集團,鷹美(國際)控股有限公司,補助款,锺育升,裕元工业(集团)限公司,纺织、服饰及个人护理,y,香港,2368,2003,港幣,OK,無,無,10591000,9189000,6646000,3403000,3974000,2820000,4725000,8312000,3872000,,"本集團於二零一四年三月三十一日的其他 應付款項包括從中國江西省宜豐縣人民 政府所收取3,974,000港元(二零一三年: 3,403,000港元)的補助，作為本集團開發江 西項目的基本建設建造成本。年內，已動 用639,000港元(二零一三年:3,243,000港 元)並以建築成本抵銷。",
,鷹美(國際)控股有限公司,營收,锺育升,裕元工业(集团)限公司,,y,,,,港幣,,,,1061179000,1164762000,1446000000,1444000000,1484000000,1517109000,1534592000,1757316000,2109422000,,,
友佳,友佳國際控股有限公司,補助款,朱志洋,朱志洋,工业工程,y,香港,2398,2006,人民幣,OK,2049000,774000,1825000,864000,3113000,6619000,1550000,無,61180000,22182000,22787000,,政府補貼及補助主要指返還有關銷售工具機及停車設備所涉及軟件之增值稅。該等補貼及補助入賬列作即時財務支援(並 無預期將產生之未來有關成本且與任何資產概無關連)。／2009 年，本集團收到政府補貼是由於一間附屬公司在杭州成為納稅大戶之一而獲授予。,
,友佳國際控股有限公司,營收,朱志洋,朱志洋,,y,,,,人民幣,,730517000,776838000,1374183000,1884132000,1540856000,1350271000,1300119000,990239000,1082336000,1294801000,1090693000,,,
能率集團,精熙國際(開曼)有限公司,,,,,,香港,2788,2006,人民幣,無補助,,,,,,,,,,,,,,
,晶門科技國際有限公司,,马玉川,华大半导体有限公司,半导体,,香港,2878,2006,美元,,,,,,無,無,無,454000,1398000,5883000,4162000,,年內，本集團的研發項目已獲得各種政府補 助，並沒有與這些撥款有關的未履行條件。,
,晶門科技國際有限公司,,,,,,,,,美元,,,,,,65100000,55200000,60100000,70900000,68400000,82464000,98148000,,,
巨騰,巨騰國際控股有限公司,補助款,郑立育,郑立育,资讯科技器材,y,香港,3336,2005,港元,OK,無,6090000,4849000,2449000,8773000,19954000,128743000,43592000,145761000,143411000,48434000,,,
,巨騰國際控股有限公司,營收,郑立育,郑立育,,y,,,,港元,,7249183000,7463909000,7166213000,8234507000,9201313000,9256832000,9571195000,8936133000,8002359000,7751797000,9072101000,,於中國大陸之企業已收取為推動製造業的數項政府津貼 。並無就該等津貼有任何未達成的條件或其他或然事項 。,
,松景科技控股有限公司,,,,,,香港,1079,1999,港元,無補助,,,,,,,,,,,,,,
,松景科技控股有限公司,,,,,,,,,港元,,,,,,,,,,,,,,,
,國農控股（前身為乾隆科技國際控股有限公司）,,,,,,香港,1236,1999,人民幣,2017年開始停牌至今,,,,,1793000,841000,864000,610000,,,,其他收入,,
,國農控股（前身為乾隆科技國際控股有限公司）,,,,,,,,,人民幣,,,,,,105747000,95659000,116767000,159876000,,,,,,
,年代國際控股有限公司,,,,,,香港,8043,2010,人民幣,已下市,,,,,,,,,,,,,,
,年代國際控股有限公司,,,,,,,,,人民幣,,,,,,,,,,,,,,,
,树熊金融集团（上聲國際控股有限公司）,,,,,,香港,8226,2002,港元,無補助,,,,,,,,,,,,,,
,树熊金融集团（上聲國際控股有限公司）,,,,,,,,,港元,,,,,,875577000,510677000,49022000,87011000,63906000,15960000,41649000,,,
楠電集團,沪电股份,補助款,吴礼淦,吴传彬,制造业,y,深圳,2463,2010,人民幣,OK,,,8000000,8000000,2105118,1866358,39784879,54433840,194905914,64168955,63339586,非经常性损益项目及金额,,
,沪电股份,營收,吴礼淦,吴传彬,,y,,,,人民幣,,,,2995100968,3136943105,3144260513,3017358116,3291794942,3377136295,3790284705,4626744296,5496885226,,,
,信隆健康（信隆实业）,補助款,廖学金,廖学湖,制造业,y,深圳,2105,2007,人民幣,OK,無,1521419,786544,3419889,1254038.36,3145233.36,1379733.36,2363333.36,2478025.76,6519620.05,7267687.57,非经常性损益项目及金额,,
,信隆健康（信隆实业）,營收,廖学金,廖学湖,,y,,,,人民幣,,1414799035,1058408167,1332812214,"1,361,096,511",1521899607,1449190612,1596848365,1358901139,1382195305,1745649312,1503418918,,,
,罗普斯金,補助款,吴明福,钱芳,制造业,y,深圳,2333,2010,人民幣,OK,,無,1111000,96000,192500,1737400.57,233000,34107257.96,80776281.66,45613139.42,6305770.13,非经常性损益项目及金额,,
,罗普斯金,營收,吴明福,钱芳,,y,,,,人民幣,,,934634235,963797026,1104988535,1138647851,1064445175,1080319622,1080167412,977172460.4,1032480739,1102974425,,,
漢鐘精機,汉钟精机,補助款,余昱暄,柯永昌,制造业,y,深圳,2158,2007,人民幣,OK,3056140,2667260,8970986,3569110,809040.72,4483604.03,5107236.94,6553906.06,6682465.6,8070280.34,8095177.03,非经常性损益项目及金额,,
,汉钟精机,營收,余昱暄,柯永昌,,y,,,,人民幣,,433524904,413613663,697889994,860443581,700094360.4,849521030,989738179.1,1122847254,1245889581,1604488619,1731630241,,,
,悦心健康,補助款,李慈雄,李慈雄,制造业,y,深圳,2162,2007,人民幣,OK,6500930,24619476,39537389,10162874,31289355,55210178,12047400,1892113,7392871.6,5416400,12603041.74,非经常性损益项目及金额,政府奖励款 722 万， 劳动力安置补贴 110 万，拓宽融资渠道补 贴183万,
,悦心健康,營收,李慈雄,李慈雄,,y,,,,人民幣,,863525681,976233940,1001684608,910430705,884542932.5,893426787.3,845393756,684202182.3,777888772.2,900219675.7,977878550.1,,,
,台基股份,,邢雁,袁雄,制造业,,深圳,300046,2004,人民幣,OK,,"2,107,545","4,919,286","3,371,347","1,893,547.78",3502447.78,5555281.11,4895862.45,2337843.76,1679262.14,499262.14,非经常性损益项目及金额,,
,台基股份,,,,,,,,,人民幣,,,211324667,267419338,322939014,269672212.5,220113206.9,221713221.9,166154459.7,242091866.1,278651806.1,418108793,,,
,海鸥住工,補助款,唐台英,王瑞泉,制造业,y,深圳,2084,2006,人民幣,OK,6698362,3108087,6698362,1589507,10240186.6,4703129.13,2427449.73,7068032.02,9400337.51,14843402.46,13318751.28,非经常性损益项目及金额,,
,海鸥住工,營收,唐台英,王瑞泉,,y,,,,人民幣,,1666082498,1199541500,1666082498,1487988413,1651430621,1675669916,1649972495,1714909435,1786562164,2070648154,2224695145,,,
,元祖股份,補助款,张秀琬,张秀琬,其它行业,y,上海,603886,2016,人民幣,OK,,,,,,,3614312.8,5425783.03,5572553.2,5078947.48,5636133.89,非经常性损益项目和金额,烘焙食品的研发、生产与销售。,
,元祖股份,營收,张秀琬,张秀琬,,y,,,,人民幣,,,,,,,,1478323015,1577201367,1591643557,1777241093,1958215895,,,
,哈森商贸,補助款,陈玉珍,陈芳德,制造业,y,上海,603958,2016,人民幣,OK,,,,,,,27438870,40732059.4,32492022.6,8158737.93,43762503.03,非经常性损益项目和金额,,
,哈森商贸,營收,陈玉珍,陈芳德,,y,,,,人民幣,,,,,,,,2048916919,1938532809,1682455208,1496871965,1347678813,,,
,鼎捷软件,補助款,孙蔼彬,叶子祯,计算机应用服务业,y,深圳,300378,2014,人民幣,OK,,,,,4730000,6386536.84,10300831.62,6730500,5752536.14,5852087.53,4188461.28,非经常性损益的项目及金额,,
,鼎捷软件,營收,孙蔼彬,叶子祯,,y,,,,人民幣,,,,,,995011612.4,1059267598,1053186652,1020116619,1140012842,1215980531,1341521548,,,
,新莱应材,補助款,李水波,李水波,制造业,y,深圳,300260,2011,人民幣,OK,,,,9656363,1217600,1130343,496550,1431120.79,1591863.57,1591046.16,8394071.98,非经常性损益项目及金额,,
,新莱应材,營收,李水波,李水波,,y,,,,人民幣,,,,,"314,843,861",322711315.9,442596676.5,422112370.7,426625097.3,490281760.2,637747334.2,1174670845,,,
