選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市議員選舉,桃園市第12選舉區,江承洲,無,1985,2
111年縣市議員選舉,桃園市第13選舉區,王仙蓮,中國國民黨,1966,5
111年縣市議員選舉,桃園市第13選舉區,張秀菊,無,1965,3
111年縣市議員選舉,桃園市第14選舉區,陳瑛,中國國民黨,1967,7
111年縣市議員選舉,桃園市第14選舉區,簡志偉,中國國民黨,1978,5
111年縣市議員選舉,桃園市第1選舉區,黃婉如,中國國民黨,1954,5
111年縣市議員選舉,桃園市第1選舉區,陳美梅,中國國民黨,1974,16
111年縣市議員選舉,桃園市第1選舉區,李曉鐘,中國國民黨,1959,21
111年縣市議員選舉,桃園市第1選舉區,羅岳峰,無,1986,24
111年縣市議員選舉,桃園市第1選舉區,李柏瑟,民主進步黨,1962,22
111年縣市議員選舉,桃園市第1選舉區,余信憲,民主進步黨,1989,14
111年縣市議員選舉,桃園市第1選舉區,黃成峻,台灣民眾黨,1978,2
111年縣市議員選舉,桃園市第1選舉區,官正平,無,1970,25
111年縣市議員選舉,桃園市第1選舉區,詹江村,中國國民黨,1963,9
111年縣市議員選舉,桃園市第1選舉區,林政賢,中國國民黨,1959,7
111年縣市議員選舉,桃園市第1選舉區,李光達,民主進步黨,1966,17
111年縣市議員選舉,桃園市第1選舉區,朱智菁,民主進步黨,1980,10
111年縣市議員選舉,桃園市第1選舉區,黃家齊,民主進步黨,1990,19
111年縣市議員選舉,桃園市第1選舉區,彭沛妤,無,1988,11
111年縣市議員選舉,桃園市第1選舉區,簡智翔,時代力量,1980,3
111年縣市議員選舉,桃園市第1選舉區,袁慧心,無,1965,4
111年縣市議員選舉,桃園市第1選舉區,黃進仕,無,1973,12
111年縣市議員選舉,桃園市第1選舉區,沈佩玲,小民參政歐巴桑聯盟,1979,18
111年縣市議員選舉,桃園市第2選舉區,牛煦庭,無,1990,4
111年縣市議員選舉,桃園市第2選舉區,陳泓維,無,1987,9
111年縣市議員選舉,桃園市第2選舉區,陳雅倫,民主進步黨,1991,7
111年縣市議員選舉,桃園市第2選舉區,簡僑亨,台灣民眾黨,1977,2
111年縣市議員選舉,桃園市第2選舉區,孫韻璇,中國國民黨,1979,6
111年縣市議員選舉,桃園市第3選舉區,蔡永芳,民主進步黨,1971,8
111年縣市議員選舉,桃園市第3選舉區,朱珍瑤,中國國民黨,1983,7
111年縣市議員選舉,桃園市第3選舉區,呂林小鳳,民主進步黨,1964,6
111年縣市議員選舉,桃園市第3選舉區,楊朝偉,中國國民黨,1967,2
111年縣市議員選舉,桃園市第3選舉區,張碩芬,中國國民黨,1980,9
111年縣市議員選舉,桃園市第3選舉區,段樹文,無,1963,5
111年縣市議員選舉,桃園市第4選舉區,林志評,無,1973,5
111年縣市議員選舉,桃園市第4選舉區,黃國晏,台灣民眾黨,1981,4
111年縣市議員選舉,桃園市第4選舉區,劉勝全,民主進步黨,1969,10
111年縣市議員選舉,桃園市第4選舉區,許清順,民主進步黨,1965,6
111年縣市議員選舉,桃園市第4選舉區,張桂綿,中國國民黨,1975,3
111年縣市議員選舉,桃園市第5選舉區,游吾和,民主進步黨,1963,3
111年縣市議員選舉,桃園市第5選舉區,徐其萬,中國國民黨,1958,2
111年縣市議員選舉,桃園市第6選舉區,陳治文,民主進步黨,1970,1
111年縣市議員選舉,桃園市第6選舉區,李柏坊,中國國民黨,1958,2
111年縣市議員選舉,桃園市第7選舉區,林佳瑋,時代力量,1986,8
111年縣市議員選舉,桃園市第7選舉區,梁為超,中國國民黨,1974,23
111年縣市議員選舉,桃園市第7選舉區,張曉昀,民主進步黨,1987,9
111年縣市議員選舉,桃園市第7選舉區,彭俊豪,民主進步黨,1982,5
111年縣市議員選舉,桃園市第7選舉區,葉明月,中國國民黨,1960,13
111年縣市議員選舉,桃園市第7選舉區,邱奕勝,中國國民黨,1960,14
111年縣市議員選舉,桃園市第7選舉區,徐景文,民主進步黨,1962,1
111年縣市議員選舉,桃園市第7選舉區,黃崇真,民主進步黨,1952,10
111年縣市議員選舉,桃園市第7選舉區,魏筠,民主進步黨,1980,17
111年縣市議員選舉,桃園市第7選舉區,楊翊堂,無,1970,18
111年縣市議員選舉,桃園市第7選舉區,劉安祺,中國國民黨,1971,21
111年縣市議員選舉,桃園市第7選舉區,劉曾玉春,無,1954,4
111年縣市議員選舉,桃園市第7選舉區,謝美英,無,1970,2
111年縣市議員選舉,桃園市第7選舉區,邱仁德,無,1971,12
111年縣市議員選舉,桃園市第7選舉區,吳嘉和,中國國民黨,1963,15
111年縣市議員選舉,桃園市第8選舉區,楊家俍,民主進步黨,1980,7
111年縣市議員選舉,桃園市第8選舉區,劉仁照,民主進步黨,1981,9
111年縣市議員選舉,桃園市第8選舉區,王珮毓,民主進步黨,1982,12
111年縣市議員選舉,桃園市第8選舉區,黃敬平,中國國民黨,1973,3
111年縣市議員選舉,桃園市第8選舉區,舒翠玲,中國國民黨,1964,8
111年縣市議員選舉,桃園市第8選舉區,劉邦鉉,無,1968,1
111年縣市議員選舉,桃園市第8選舉區,黃永欽,綠黨,1937,5
111年縣市議員選舉,桃園市第8選舉區,朱哲成,時代力量,1989,2
111年縣市議員選舉,桃園市第9選舉區,鄭淑方,民主進步黨,1972,5
111年縣市議員選舉,桃園市第9選舉區,涂權吉,中國國民黨,1970,3
111年縣市議員選舉,桃園市第9選舉區,李家興,無,1957,6
111年縣市議員選舉,高雄市第10選舉區,鄭光峰,民主進步黨,1966,3
111年縣市議員選舉,高雄市第10選舉區,陳致中,民主進步黨,1979,5
111年縣市議員選舉,高雄市第10選舉區,蔡武宏,中國國民黨,1978,12
111年縣市議員選舉,高雄市第10選舉區,李順進,無黨團結聯盟,1958,16
111年縣市議員選舉,高雄市第10選舉區,于仙玲,小民參政歐巴桑聯盟,1985,8
111年縣市議員選舉,高雄市第10選舉區,吳銘賜,台灣團結聯盟,1965,11
111年縣市議員選舉,高雄市第10選舉區,顏坤泉,左翼聯盟,1955,1
111年縣市議員選舉,高雄市第10選舉區,曾麗燕,中國國民黨,1953,7
111年縣市議員選舉,高雄市第10選舉區,朱挺玗,無,1980,2
111年縣市議員選舉,高雄市第10選舉區,陳麗娜,中國國民黨,1970,14
111年縣市議員選舉,高雄市第10選舉區,蔡媽福,NA,1949,17
111年縣市議員選舉,高雄市第11選舉區,韓賜村,民主進步黨,1959,10
111年縣市議員選舉,高雄市第11選舉區,王耀裕,中國國民黨,1961,7
111年縣市議員選舉,高雄市第11選舉區,邱于軒,中國國民黨,1982,4
111年縣市議員選舉,高雄市第11選舉區,李建輝,無,1981,9
111年縣市議員選舉,高雄市第11選舉區,黃天煌,中國國民黨,1962,8
111年縣市議員選舉,高雄市第12選舉區,王義雄,中國國民黨,1960,1
111年縣市議員選舉,高雄市第13選舉區,陳幸富,無,1972,2
111年縣市議員選舉,高雄市第15選舉區,范織欽 Pasulang・Tomatalate,無,1957,1
111年縣市議員選舉,高雄市第1選舉區,林富寶,民主進步黨,1955,4
111年縣市議員選舉,高雄市第1選舉區,朱信強,無黨團結聯盟,1968,1
111年縣市議員選舉,高雄市第1選舉區,林義迪,中國國民黨,1959,2
111年縣市議員選舉,高雄市第2選舉區,陳明澤,民主進步黨,1963,2
111年縣市議員選舉,高雄市第2選舉區,李亞築,中國國民黨,1987,1
111年縣市議員選舉,高雄市第2選舉區,李柏融,無,1949,4
111年縣市議員選舉,高雄市第2選舉區,黃明太,民主進步黨,1962,5
111年縣市議員選舉,高雄市第2選舉區,鄭東元,中國國民黨,1959,3
111年縣市議員選舉,高雄市第3選舉區,林志誠,民主進步黨,1953,3
111年縣市議員選舉,高雄市第3選舉區,黃秋媖,民主進步黨,1972,6
111年縣市議員選舉,高雄市第3選舉區,方信淵,中國國民黨,1965,1
111年縣市議員選舉,高雄市第3選舉區,陸淑美,中國國民黨,1962,7
111年縣市議員選舉,高雄市第3選舉區,宋立彬,中國國民黨,1978,4
111年縣市議員選舉,高雄市第4選舉區,陳善慧,無,1965,4
111年縣市議員選舉,高雄市第4選舉區,柳淑芳,無,1960,14
111年縣市議員選舉,高雄市第4選舉區,李雅慧,民主進步黨,1975,9
111年縣市議員選舉,高雄市第4選舉區,黃文志,民主進步黨,1982,16
111年縣市議員選舉,高雄市第4選舉區,陳麗珍,中國國民黨,1966,13
111年縣市議員選舉,高雄市第4選舉區,陳玫娟,中國國民黨,1962,19
111年縣市議員選舉,高雄市第4選舉區,莊貽量,台灣民眾黨,1973,15
111年縣市議員選舉,高雄市第4選舉區,謝天助,無,1936,8
111年縣市議員選舉,高雄市第4選舉區,李眉蓁,中國國民黨,1979,6
111年縣市議員選舉,高雄市第4選舉區,蘇柏銓,無,1986,20
111年縣市議員選舉,高雄市第4選舉區,李雅芬,中國國民黨,1970,10
111年縣市議員選舉,高雄市第4選舉區,吳佩蓉,無,1976,5
111年縣市議員選舉,高雄市第4選舉區,蘇博廷,無,1981,11
111年縣市議員選舉,高雄市第5選舉區,邱俊憲,民主進步黨,1982,10
111年縣市議員選舉,高雄市第5選舉區,陳清茂,無,1972,8
111年縣市議員選舉,高雄市第5選舉區,張勝富,民主進步黨,1972,7
111年縣市議員選舉,高雄市第5選舉區,江瑞鴻,民主進步黨,1964,6
111年縣市議員選舉,高雄市第5選舉區,劉佳達,無,1980,5
111年縣市議員選舉,高雄市第5選舉區,王齡嬌,無,1966,9
111年縣市議員選舉,高雄市第5選舉區,吳彥輝,無,1981,12
111年縣市議員選舉,高雄市第5選舉區,陳惠君,台灣民眾黨,1973,13
111年縣市議員選舉,高雄市第5選舉區,吳利成,中國國民黨,1969,2
111年縣市議員選舉,高雄市第6選舉區,簡煥宗,民主進步黨,1973,3
111年縣市議員選舉,高雄市第6選舉區,李喬如,民主進步黨,1957,4
111年縣市議員選舉,高雄市第6選舉區,蔡金晏,中國國民黨,1978,1
111年縣市議員選舉,高雄市第6選舉區,陳美雅,中國國民黨,1970,2
111年縣市議員選舉,高雄市第7選舉區,林武忠,民主進步黨,1955,9
111年縣市議員選舉,高雄市第7選舉區,何權峰,民主進步黨,1980,3
111年縣市議員選舉,高雄市第7選舉區,康裕成,民主進步黨,1956,11
111年縣市議員選舉,高雄市第7選舉區,鄭孟洳,民主進步黨,1990,8
111年縣市議員選舉,高雄市第7選舉區,童燕珍,中國國民黨,1953,10
111年縣市議員選舉,高雄市第7選舉區,林于凱,時代力量,1981,5
111年縣市議員選舉,高雄市第7選舉區,黃香菽,中國國民黨,1981,13
111年縣市議員選舉,高雄市第7選舉區,李佳玲,台灣民眾黨,1978,1
111年縣市議員選舉,高雄市第8選舉區,黃文益,民主進步黨,1976,8
111年縣市議員選舉,高雄市第8選舉區,郭建盟,民主進步黨,1970,1
111年縣市議員選舉,高雄市第8選舉區,陳若翠,中國國民黨,1969,2
111年縣市議員選舉,高雄市第8選舉區,黃紹庭,中國國民黨,1970,7
111年縣市議員選舉,高雄市第8選舉區,劉景裕,無,1968,4
111年縣市議員選舉,高雄市第8選舉區,吳益政,無,1963,6
111年縣市議員選舉,高雄市第9選舉區,張漢忠,民主進步黨,1953,15
111年縣市議員選舉,高雄市第9選舉區,李雨蓁,台灣基進,1987,1
111年縣市議員選舉,高雄市第9選舉區,黃捷,無,1993,8
111年縣市議員選舉,高雄市第9選舉區,陳慧文,民主進步黨,1974,9
111年縣市議員選舉,高雄市第9選舉區,鄭安秝,中國國民黨,1995,7
111年縣市議員選舉,高雄市第9選舉區,李雅靜,中國國民黨,1977,3
111年縣市議員選舉,高雄市第9選舉區,劉德林,中國國民黨,1961,6
111年縣市議員選舉,高雄市第9選舉區,鍾易仲,中國國民黨,1982,4
111年縣市議員選舉,高雄市第9選舉區,廖國誌,無,1966,10
111年縣市議員選舉,新北市第10選舉區,林裔綺,民主進步黨,1968,2
111年縣市議員選舉,新北市第11選舉區,張錦豪,民主進步黨,1979,6
111年縣市議員選舉,新北市第11選舉區,周雅玲,民主進步黨,1968,2
111年縣市議員選舉,新北市第11選舉區,白珮茹,中國國民黨,1975,4
111年縣市議員選舉,新北市第11選舉區,廖先翔,中國國民黨,1988,3
111年縣市議員選舉,新北市第11選舉區,黃瑞傳,無,1950,5
111年縣市議員選舉,新北市第12選舉區,楊春妹,中國國民黨,1961,5
111年縣市議員選舉,新北市第12選舉區,蘇錦雄 Paylang・Caya,民主進步黨,1964,6
111年縣市議員選舉,新北市第12選舉區,宋雨蓁 Nikar・Falong,無,1981,3
111年縣市議員選舉,新北市第12選舉區,達佶祐・卡造 Takiyo・Kacaw,台灣民眾黨,1969,1
111年縣市議員選舉,新北市第13選舉區,馬見 Lahuy・Ipin,無黨團結聯盟,1992,2
111年縣市議員選舉,新北市第1選舉區,蔡錦賢,無黨團結聯盟,1949,6
111年縣市議員選舉,新北市第1選舉區,陳靜儀,台灣民眾黨,1968,4
111年縣市議員選舉,新北市第1選舉區,陳偉杰,中國國民黨,1978,2
111年縣市議員選舉,新北市第1選舉區,鄭宇恩,民主進步黨,1986,1
111年縣市議員選舉,新北市第2選舉區,賴秋媚,民主進步黨,1963,7
111年縣市議員選舉,新北市第2選舉區,董俊宏,台灣基進,1969,4
111年縣市議員選舉,新北市第2選舉區,宋明宗,中國國民黨,1967,6
111年縣市議員選舉,新北市第3選舉區,鍾宏仁,民主進步黨,1957,15
111年縣市議員選舉,新北市第3選舉區,何淑峯,民主進步黨,1967,5
111年縣市議員選舉,新北市第3選舉區,陳世軒,台灣民眾黨,1969,8
111年縣市議員選舉,新北市第3選舉區,何語蓉,小民參政歐巴桑聯盟,1977,11
111年縣市議員選舉,新北市第3選舉區,蔣根煌,中國國民黨,1963,12
111年縣市議員選舉,新北市第3選舉區,邱吉均,無,1958,4
111年縣市議員選舉,新北市第3選舉區,張志宏,無,1969,1
111年縣市議員選舉,新北市第3選舉區,陳科名,無,1970,13
111年縣市議員選舉,新北市第3選舉區,蔡健棠,中國國民黨,1963,9
111年縣市議員選舉,新北市第3選舉區,許明偉,無,1954,6
111年縣市議員選舉,新北市第4選舉區,陳啟能,民主進步黨,1959,1
111年縣市議員選舉,新北市第4選舉區,彭佳芸,民主進步黨,1982,8
111年縣市議員選舉,新北市第4選舉區,邱婷蔚,民主進步黨,1980,7
111年縣市議員選舉,新北市第4選舉區,李倩萍,民主進步黨,1970,9
111年縣市議員選舉,新北市第4選舉區,董俊良,新黨,1970,15
111年縣市議員選舉,新北市第4選舉區,王威元,中國國民黨,1981,2
111年縣市議員選舉,新北市第5選舉區,吳達偉,台灣民眾黨,1984,4
111年縣市議員選舉,新北市第5選舉區,林國春,中國國民黨,1968,1
