時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2020/12/31 下午 3:29:22,金門縣,15 歲以上 ～ 18 歲,ig,fb,TikTok,X,X
2020/12/31 下午 4:04:05,新北市,15 歲以上 ～ 18 歲,youtube,Instagram ,Facebook,愛奇藝,Line
2020/12/31 下午 4:36:54,臺東縣,15 歲以上 ～ 18 歲,Ig,Fb,Tiktok,Google,傳說對決
2020/12/31 下午 4:39:25,金門縣,15 歲以上 ～ 18 歲,IG,Youtube,FB,Line,Gmail
2020/12/31 下午 4:39:26,臺東縣,15 歲以上 ～ 18 歲,IG,Line,Youtube ,Facebook ,傳說對決
2020/12/31 下午 4:49:50,臺東縣,15 歲以上 ～ 18 歲,YouTube ,Line ,Facebook ,Google ,蝦皮
2020/12/31 下午 4:55:45,臺東縣,15 歲以上 ～ 18 歲,Youtube,Line,Ig,傳說對決,Messenger
2020/12/31 下午 5:13:11,基隆市,15 歲以上 ～ 18 歲,line,YouTube ,chrom,webtoon,ig
2020/12/31 下午 5:23:16,宜蘭縣,12 ～ 15 歲,Facebook ,Ig,抖音,YouTube ,line
2020/12/31 下午 5:23:47,宜蘭縣,12 ～ 15 歲,instagram,和平精英,youtube,Facebook,messenger
2020/12/31 下午 5:32:02,宜蘭縣,12 ～ 15 歲,YouTube,FACEBOOK,Message,Instagram,WEBTOON
2020/12/31 下午 5:39:49,臺南市,15 歲以上 ～ 18 歲,Facebook ,massage ,Google ,Line,Google 翻譯
2020/12/31 下午 5:50:43,臺東縣,15 歲以上 ～ 18 歲,決勝時刻,抖音,IG,YouTube ,相機？
2020/12/31 下午 6:24:46,新北市,15 歲以上 ～ 18 歲,LINE,IG,激鬥峽谷,Pokemon Go,小紅書
2020/12/31 下午 6:56:47,臺北市,15 歲以上 ～ 18 歲,Ig,Fb,YouTube ,Line,KKBOX 
2020/12/31 下午 7:10:07,臺東縣,15 歲以上 ～ 18 歲,Line,Messenger ,Instagram ,抖音,YouTube 
2020/12/31 下午 7:41:33,臺東縣,15 歲以上 ～ 18 歲,傳說對決,最強蝸牛,知識王live,王者荣耀,Instagram 
2020/12/31 下午 7:44:43,宜蘭縣,12 ～ 15 歲,全民party,youtube,goole,FB,Messenger
2020/12/31 下午 7:47:41,宜蘭縣,12 ～ 15 歲,Instagram,Line,Youtube,Facebook ,X
2020/12/31 下午 8:25:21,新北市,12 ～ 15 歲,小紅書,FB,Line,IG,Webtoon
2020/12/31 下午 8:54:36,新北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,Line,Messenger ,遊戲
2020/12/31 下午 10:13:54,臺北市,12 ～ 15 歲,ig,Line,Facebook,Youtube,Google
2020/12/31 下午 10:22:05,高雄市,15 歲以上 ～ 18 歲,YouTube ,ig,Google ,相機,titter 
2020/12/31 下午 10:26:54,臺北市,15 歲以上 ～ 18 歲,Line,Safari ,Instagram ,YouTube ,Photo 
2020/12/31 下午 10:46:28,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
