時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2021/1/16 下午 12:32:01,桃園市,12 ～ 15 歲,instagram,facebook,極速領域,tiktok,line
2021/1/16 下午 5:11:42,臺北市,15 歲以上 ～ 18 歲,Instergram ,Line,Word,Youtube,Google簡報/文件
2021/1/16 下午 10:25:57,苗栗縣,15 歲以上 ～ 18 歲,Ig,Dcard,Zenly,Fb,蝦皮
2021/1/16 下午 10:44:26,新竹市,15 歲以上 ～ 18 歲,Ig,Msg,神魔三國志,Fb,Line
2021/1/16 下午 11:00:34,桃園市,12 ～ 15 歲,youtube,google翻譯,message,mobile,無
2021/1/16 下午 11:03:30,桃園市,12 ～ 15 歲,google翻譯,youtube,message,無,無
2021/1/17 上午 8:55:24,新竹縣,12 ～ 15 歲,Facebook,Instagram,剪映,Tik Tok,傳說對決
2021/1/17 上午 10:08:12,臺北市,12 ～ 15 歲,Ig,YouTube ,fb,Line,傳說對決
2021/1/17 下午 2:09:12,新竹縣,15 歲以上 ～ 18 歲,Messenger,Facebook,YouTube,Instagram,知識王
2021/1/18 上午 5:14:19,臺北市,15 歲以上 ～ 18 歲,Ig,Netflix ,激鬥峽谷,第五人格,Yt
2021/1/18 上午 11:04:58,桃園市,12 ～ 15 歲,FB,IG,messange,lINE,youtube
2021/1/18 上午 11:05:10,桃園市,12 ～ 15 歲,PUBG,Instgram,Facebook,傳說對決,youtube
2021/1/18 上午 11:05:39,桃園市,12 ～ 15 歲,KKBOX,FB,IG,MESSENGER,weverse
2021/1/18 上午 11:06:48,桃園市,12 ～ 15 歲,fb,傳說對決,lol,灌籃高手,ig
2021/1/18 下午 1:50:32,桃園市,12 ～ 15 歲,沒,沒,沒,沒,沒
2021/1/18 下午 1:51:17,桃園市,12 ～ 15 歲,遊戲,youtube,無,無,無
2021/1/18 下午 1:51:42,桃園市,12 ～ 15 歲,FB,youtube ,line,食物語,極速領域
2021/1/18 下午 1:52:34,桃園市,12 ～ 15 歲,google play,messange,line,wechat,google
2021/1/18 下午 3:33:29,桃園市,12 ～ 15 歲,IG,FB,LINE,zenly,DISCORD
2021/1/18 下午 3:33:33,桃園市,12 ～ 15 歲,X,X,X,X,X
2021/1/18 下午 3:34:04,桃園市,12 ～ 15 歲,無,無,無,無,無
2021/1/18 下午 3:34:08,桃園市,12 ～ 15 歲,line,line,line,line,line
2021/1/18 下午 3:34:53,桃園市,12 ～ 15 歲,messanger,FB,LINE,google,google play
2021/1/18 下午 3:35:05,桃園市,12 ～ 15 歲,line,fb,messenger,ig,荒野亂鬥
2021/1/18 下午 3:35:11,桃園市,12 ～ 15 歲,Google,Messenger,youtube,Google play,fb
2021/1/18 下午 3:35:21,桃園市,12 ～ 15 歲,ig,fb,和平精英,messanger,line
2021/1/18 下午 3:35:23,桃園市,12 ～ 15 歲,pubgm,youtube,fb,google,ig
2021/1/18 下午 3:36:09,桃園市,12 ～ 15 歲,灌籃高手,facebook,MESSANGER,youtube,pubg
2021/1/18 下午 3:36:11,桃園市,12 ～ 15 歲,傳說對決,message,youtube,fb,冷酷靈魂
2021/1/18 下午 3:36:22,桃園市,12 ～ 15 歲,fb,抖音, ig,youtube,message
2021/1/18 下午 3:36:33,桃園市,12 ～ 15 歲,message,FB,傳說對決,ig,YT
2021/1/18 下午 3:36:50,桃園市,12 ～ 15 歲,camara,youtube,FB,荒野亂鬥,媒體瀏覽器
2021/1/18 下午 3:37:05,桃園市,12 ～ 15 歲,蝦皮,fb,messanger,youtube,ig
2021/1/18 下午 3:37:10,桃園市,12 ～ 15 歲,fb,ig,messenger,wetv,line
2021/1/18 下午 3:37:11,桃園市,12 ～ 15 歲,ig,youtube,fb,webtoon,line
2021/1/18 下午 3:37:13,桃園市,12 ～ 15 歲,ig,safari,fb,massenger,line
2021/1/18 下午 3:37:15,桃園市,12 ～ 15 歲,Facebook,Instagram,Youtube,Chrome,傳說對決
2021/1/18 下午 3:37:29,桃園市,12 ～ 15 歲,IG,YOUTUBE,FB,GOOGLE,MESSAGE
2021/1/18 下午 3:37:44,桃園市,12 ～ 15 歲,IG,messenger,youtube,蝦皮,fb
2021/1/18 下午 3:37:44,桃園市,12 ～ 15 歲,ig  ,FB,YT,抖音,傳說
2021/1/18 下午 3:38:06,桃園市,12 ～ 15 歲,傳說對決,fb,ig,google,yt
2021/1/18 下午 3:38:13,桃園市,12 ～ 15 歲,fb,ig,抖音,youtube,pubg
2021/1/18 下午 3:38:16,桃園市,12 ～ 15 歲,Facebook,Instagram,Messenger,Google,YouTube
2021/1/18 下午 3:38:51,桃園市,12 ～ 15 歲,messanger,yt,fb,傳說對決,ig
2021/1/18 下午 3:39:38,桃園市,12 ～ 15 歲,Yotube,IG,Messenger,fb,line
2021/1/19 上午 8:25:41,金門縣,12 ～ 15 歲,傳說對決,Youtube,Facebook,Google,IG
2021/1/19 上午 8:25:49,金門縣,12 ～ 15 歲,YouTube,Pinterest,第五人格,光遇,蝦皮購物
2021/1/19 上午 8:25:56,金門縣,12 ～ 15 歲,無,無,無,無,無
2021/1/19 上午 8:26:45,金門縣,12 ～ 15 歲,Messenger,YouTube,傳說對決,英雄聯盟,Fb
2021/1/19 上午 8:27:15,金門縣,12 ～ 15 歲,FB,Messenger,YouTube,抖音,電話
2021/1/19 上午 8:27:26,金門縣,12 ～ 15 歲,王者榮耀,Youtube,Facebook,google,Gmail
2021/1/19 上午 8:27:33,金門縣,12 ～ 15 歲,ig,messenger ,Fb,YouTube ,google
2021/1/19 上午 8:27:51,金門縣,12 ～ 15 歲,Fb,Yt,ig, 傳說,英雄聯盟
2021/1/19 上午 8:28:26,金門縣,12 ～ 15 歲,YT,Twich,無,無,無
2021/1/19 上午 8:28:28,金門縣,12 ～ 15 歲,光遇,半次元,YouTube ,微博,第五人格
2021/1/19 上午 8:28:41,金門縣,12 ～ 15 歲,YouTube,Fb,傳說對決,Messenger,Line
2021/1/19 上午 8:28:57,金門縣,12 ～ 15 歲,Google,Youtube,Messebger,快看漫畫,Bilbil
2021/1/19 上午 8:29:01,金門縣,12 ～ 15 歲,YouTube ,Facebook ,Coin  Master,傳說對決,Line
2021/1/19 上午 8:29:03,金門縣,12 ～ 15 歲,YouTube,荒野行動,Tiktok,Line,Facebook、IG
2021/1/19 上午 8:29:26,金門縣,12 ～ 15 歲,Fb,ig,Line,傳說對決,英雄聯盟
2021/1/19 上午 8:30:31,金門縣,12 ～ 15 歲,Call of duty mobile ,Youtube,Google,貓娘樂園,巴哈姆特動畫瘋
2021/1/19 上午 8:30:38,金門縣,12 ～ 15 歲,FB,遊戲,Google,YouTube ,bilibili
2021/1/19 上午 8:30:39,金門縣,12 ～ 15 歲,YouTube,傳說對決,七龍珠,Fb,王者榮耀
2021/1/19 上午 8:31:16,金門縣,12 ～ 15 歲,快看漫畫,Google ,耽美小說,bilibili ,小紅書
2021/1/19 上午 8:33:35,金門縣,12 ～ 15 歲,Youtube,Freefire,Line,Facebook ,抖音
2021/1/19 上午 10:43:21,高雄市,12 ～ 15 歲,YOUTUBE,FACEBOOK,動畫瘋,決勝時刻,ROBLOX
2021/1/20 下午 7:57:00,臺北市,15 歲以上 ～ 18 歲,YouTube ,Facebook,LINE,Google ,網路漫畫 小說
2021/1/21 下午 11:33:33,臺北市,15 歲以上 ～ 18 歲,Instagram ,雲端硬碟,line,G-mail,傳說對決
2021/1/22 上午 10:19:33,南投縣,15 歲以上 ～ 18 歲,IG,9,傳說對決,抖音,Facebook
2021/1/22 上午 10:19:35,南投縣,15 歲以上 ～ 18 歲,Line,抖音,Youtube ,Ig ,Messenger
2021/1/22 上午 10:19:40,南投縣,15 歲以上 ～ 18 歲,ig,YouTube,抖音,WeTV,傳說對決
2021/1/22 上午 10:19:55,南投縣,15 歲以上 ～ 18 歲,YouTube ,小紅書,Line,Fb,訊息
2021/1/22 上午 10:20:13,南投縣,15 歲以上 ～ 18 歲,Instagram,巴哈姆特,Netflix,Facebook,mobile01
2021/1/22 上午 10:20:46,南投縣,15 歲以上 ～ 18 歲,ig,fb,line,goole,抖音
2021/1/22 上午 10:20:56,南投縣,15 歲以上 ～ 18 歲,Youtube,Google,ig,Fb,Massger
2021/1/22 上午 10:20:59,南投縣,15 歲以上 ～ 18 歲,公主連結,神魔之塔,youtube,Instagram,twitter
2021/1/22 上午 10:21:02,南投縣,15 歲以上 ～ 18 歲,Youtube,Google,ig,Fb,Massger
2021/1/22 上午 10:21:14,南投縣,15 歲以上 ～ 18 歲,ig,youtube,x,x,x
2021/1/22 上午 10:21:18,南投縣,15 歲以上 ～ 18 歲,騰訊自選股,股市大富翁,股票挖土機,台股看盤軟體,plus500
2021/1/22 上午 10:21:28,南投縣,15 歲以上 ～ 18 歲,youtube,遊戲,goole,抖音,ig
2021/1/22 上午 10:21:38,南投縣,15 歲以上 ～ 18 歲,ig,抖音,谷歌,臉書,小紅書
2021/1/22 上午 10:21:39,南投縣,15 歲以上 ～ 18 歲,ig,激鬥峽谷,Massage,Twitch,爐石戰記
2021/1/22 上午 10:21:48,南投縣,15 歲以上 ～ 18 歲,ig,抖音,谷歌,臉書,小紅書
2021/1/22 上午 10:22:03,南投縣,15 歲以上 ～ 18 歲,YouTube,Messenger,傳說對決,Facebook,Instagram
2021/1/22 上午 10:22:34,南投縣,15 歲以上 ～ 18 歲,ig,抖音,YouTube,Messenger,Line
2021/1/22 上午 10:22:35,南投縣,15 歲以上 ～ 18 歲,FB,IG,抖音,YouTube ,開心水族箱
2021/1/22 上午 10:22:41,南投縣,15 歲以上 ～ 18 歲,IG,FB,youtube,蝦皮,Netflix 
2021/1/22 上午 10:23:13,南投縣,15 歲以上 ～ 18 歲,google,youtube,TikTok,蝦皮,ig
2021/1/22 上午 10:59:08,臺東縣,12 ～ 15 歲,Facebook,messenger,X,X,X
2021/1/22 上午 11:49:15,新北市,12 ～ 15 歲,ig,line,YouTube,Chrome,love live
2021/1/22 下午 12:10:21,新竹縣,15 歲以上 ～ 18 歲,Instagram,Facebook,Messenger,Apple Music,Dcard
2021/1/22 下午 1:06:25,新竹市,12 ～ 15 歲,message,Brain,NO,NO,NO
2021/1/22 下午 3:01:37,新北市,12 ～ 15 歲,IG,line,line play,極速領域,戀與製作人
2021/1/22 下午 4:05:32,臺中市,15 歲以上 ～ 18 歲,神魔之塔,Line,IG,chrome ,Twitter 
2021/1/22 下午 5:34:21,臺中市,15 歲以上 ～ 18 歲,流利說-英語,Google,島讀,一字馬訓練,Messenger
2021/1/22 下午 5:35:26,臺中市,15 歲以上 ～ 18 歲,Instagram,Discord,Facebook,Dcard,Line
2021/1/22 下午 5:44:30,嘉義市,12 ～ 15 歲,Twitter,Instagram,Discord,Line,Youtube
2021/1/22 下午 5:53:30,桃園市,15 歲以上 ～ 18 歲,Youtube,Twitter,Twitch,Twist Wonderland(迪士尼扭曲仙境）,動畫瘋
2021/1/22 下午 6:02:06,臺北市,15 歲以上 ～ 18 歲,推特,Instagram ,Youtube,Line,Facebook
2021/1/22 下午 6:02:18,臺中市,15 歲以上 ～ 18 歲,Twitter,Youtube,Instagram,Discord,Line
2021/1/22 下午 6:15:47,新北市,12 ～ 15 歲,ig😻,LINE,WEBTOON,FB,YT
2021/1/22 下午 6:18:13,臺中市,15 歲以上 ～ 18 歲,YouTube ,Messenger ,Line ,Facebook ,Google
2021/1/22 下午 7:22:13,臺南市,15 歲以上 ～ 18 歲,Facebook,YouTube,Twitter,Messenger,Instagram
2021/1/22 下午 7:24:36,臺中市,15 歲以上 ～ 18 歲,Twitter,instagram,line,YouTube,Facebook
2021/1/22 下午 9:01:12,臺北市,15 歲以上 ～ 18 歲,twitter,Facebook,instagram,x,x
2021/1/22 下午 9:51:17,新竹市,15 歲以上 ～ 18 歲,Messengee,Line,Google,youtube,gmail
2021/1/22 下午 10:32:18,高雄市,15 歲以上 ～ 18 歲,Twitter,Instagram,Line,Plurk,Facebook
2021/1/23 上午 12:15:21,高雄市,15 歲以上 ～ 18 歲,fb,messenger,twitter,IG,google
2021/1/23 上午 3:49:26,桃園市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Spotify ,Webtoon ,X 
2021/1/23 下午 5:54:26,苗栗縣,15 歲以上 ～ 18 歲,facebook,文スト迷ヰ犬,ig,youtube,戀與製作人
2021/1/23 下午 10:07:28,苗栗縣,15 歲以上 ～ 18 歲,IG,FB,JYP bubble ,LINE,Twitter 
2021/1/23 下午 10:10:20,苗栗縣,15 歲以上 ～ 18 歲,IG ,Messenger,safari ,YouTube ,無
2021/1/23 下午 10:11:11,苗栗縣,15 歲以上 ～ 18 歲,Kk box,Instagram ,YouTube ,Line,台中等公車
2021/1/23 下午 10:14:52,彰化縣,15 歲以上 ～ 18 歲,IG,Line,YouTube,FB,Coin Master
2021/1/23 下午 10:17:10,彰化縣,15 歲以上 ～ 18 歲,IG,LINE,YOUTUBE,WEBTOON,FB
2021/1/23 下午 10:18:02,苗栗縣,15 歲以上 ～ 18 歲,Instagram,YouTube ,X,X,X
2021/1/23 下午 10:20:55,彰化縣,15 歲以上 ～ 18 歲,line,Ig ,決勝時刻,Youtube,google
2021/1/23 下午 10:22:23,彰化縣,15 歲以上 ～ 18 歲,IG,韓劇TV,Yutube,Message ,KKBOX
2021/1/23 下午 10:25:14,彰化縣,15 歲以上 ～ 18 歲,Ig,LINE,youtube,FB,無
2021/1/23 下午 10:34:14,苗栗縣,15 歲以上 ～ 18 歲,IG,LINE,YouTube,Pinterest,X
2021/1/23 下午 10:40:03,臺中市,15 歲以上 ～ 18 歲,LINE,Instagram,Lovelive!,全面屍控,Messenger 
2021/1/23 下午 11:05:37,苗栗縣,15 歲以上 ～ 18 歲,Ig,Line,Messenger,Yt,x
2021/1/23 下午 11:06:38,臺中市,15 歲以上 ～ 18 歲,Granblue Fantasy,LINE,Instagram,Dcard,Netflix
2021/1/24 上午 5:52:06,苗栗縣,15 歲以上 ～ 18 歲,Instagram,Messenger,Facebook,Line,FaceU
2021/1/24 上午 8:32:03,苗栗縣,15 歲以上 ～ 18 歲,Line,小紅書,Instagram ,愛奇藝,YouTube 
2021/1/24 上午 10:01:46,彰化縣,15 歲以上 ～ 18 歲,IG,Line,YT,FB,Messager
2021/1/24 上午 10:04:15,彰化縣,15 歲以上 ～ 18 歲,Ig,Yt,Tiktok,抖音,奇蹟MU
2021/1/24 上午 10:10:24,彰化縣,15 歲以上 ～ 18 歲,Line ,Instagram,Facebook ,Coin Master,蝦皮購物
2021/1/24 上午 10:11:05,彰化縣,15 歲以上 ～ 18 歲,Pokémon go,Line,Google,Facebook,Messenger
2021/1/24 上午 10:11:07,彰化縣,15 歲以上 ～ 18 歲,Ig,Line,Message ,微信,戀與製作人
2021/1/24 上午 10:12:25,彰化縣,15 歲以上 ～ 18 歲,Line,IG,Podcast,YouTube ,OffScreen 
2021/1/24 上午 10:16:16,彰化縣,15 歲以上 ～ 18 歲,YT,IG,DC,Lolm,Line
2021/1/24 上午 10:18:18,彰化縣,15 歲以上 ～ 18 歲,Instagram ,LINE,Message ,Coin master!!!!!!!!,Facebook
2021/1/24 上午 10:20:33,彰化縣,15 歲以上 ～ 18 歲,Messenger ,Instagram ,Zenly,蝦皮購物,MB3
2021/1/24 上午 10:24:40,彰化縣,15 歲以上 ～ 18 歲,Instagram ,Line,YouTube ,X,X
2021/1/24 上午 10:28:36,彰化縣,15 歲以上 ～ 18 歲,Ig,Yt,Messenger,Pinterest,Twitch
2021/1/24 上午 10:31:52,彰化縣,15 歲以上 ～ 18 歲,ig,Yt,Dcard,蝦皮,導航
2021/1/24 上午 10:37:34,彰化縣,15 歲以上 ～ 18 歲,IG,YT,TikTok ,Line,決勝時刻
2021/1/24 上午 10:43:36,彰化縣,15 歲以上 ～ 18 歲,IG,Spotify,WEBTOON,Twitter,Weverse
2021/1/24 上午 10:45:26,彰化縣,15 歲以上 ～ 18 歲,傳說對決,TikTok ,YouTube ,IG ,Line
2021/1/24 上午 10:46:36,彰化縣,15 歲以上 ～ 18 歲,Ig,Dcard,抖音,Youtube,Google
2021/1/24 上午 10:54:18,彰化縣,15 歲以上 ～ 18 歲,IG,Youtube,Line,Message ,傳說
2021/1/24 上午 10:54:33,彰化縣,15 歲以上 ～ 18 歲,Ig,Line,YouTube,Facebook,Google
2021/1/24 上午 11:03:33,彰化縣,15 歲以上 ～ 18 歲,Instagram,Netflix ,Youtube,Line,Pinterest 
2021/1/24 上午 11:10:17,彰化縣,12 ～ 15 歲,IG ,陸版抖音,YouTube ,小紅書,FB
2021/1/24 上午 11:26:21,彰化縣,15 歲以上 ～ 18 歲,YouTube ,Netflix ,Instagram ,LINE,Messenger 
2021/1/24 上午 11:26:56,彰化縣,15 歲以上 ～ 18 歲,抖音,Iine,Ig,Yt,Fb
2021/1/24 上午 11:36:47,彰化縣,15 歲以上 ～ 18 歲,IG,LINE,YouTube ,抖音,FB
2021/1/24 上午 11:51:08,苗栗縣,15 歲以上 ～ 18 歲,YouTube ,Message,X,X,X
2021/1/24 上午 11:53:33,新北市,15 歲以上 ～ 18 歲,Messenger,IG,FB,Line,Neco Atsume
2021/1/24 下午 12:01:28,雲林縣,15 歲以上 ～ 18 歲,Ig,Messenger ,Line,YouTube,抖音
2021/1/24 下午 12:13:52,臺中市,15 歲以上 ～ 18 歲,Instagram,Facebook,YouTube,抖音(中國版),undercover
2021/1/24 下午 12:17:45,彰化縣,15 歲以上 ～ 18 歲,IG,Line,Youtube,蝦皮,傳說對決
2021/1/24 下午 12:32:13,彰化縣,15 歲以上 ～ 18 歲,IG,Google,Line,YouTube ,FB
2021/1/24 下午 12:54:04,彰化縣,15 歲以上 ～ 18 歲,IG,line,messenger,FB,YouTube
2021/1/24 下午 12:59:52,彰化縣,12 ～ 15 歲,Messenger ,YouTube ,Line ,IG ,抖音
2021/1/24 下午 1:14:41,彰化縣,15 歲以上 ～ 18 歲,ig,Messenger,LINE,YouTube,愛奇藝
2021/1/24 下午 1:38:55,彰化縣,15 歲以上 ～ 18 歲,Instagram,LINE,YouTube,Netflix,Dcard
2021/1/24 下午 2:10:32,彰化縣,12 ～ 15 歲,Instagram,微信,王者榮耀,快手,Facebook
2021/1/24 下午 2:45:15,彰化縣,15 歲以上 ～ 18 歲,IG,Youtube,Line漫畫,遊戲app,Google搜尋引擎
2021/1/24 下午 3:40:49,彰化縣,15 歲以上 ～ 18 歲,LINE,IG,TikTok,YouTube ,Mixerbox
2021/1/24 下午 3:42:29,彰化縣,15 歲以上 ～ 18 歲,IG,Notability ,LINE,X,X
2021/1/24 下午 3:54:45,彰化縣,15 歲以上 ～ 18 歲,微博,ig,Message,跑跑卡丁車,yt
2021/1/24 下午 9:25:56,彰化縣,15 歲以上 ～ 18 歲,賴,哀居,message,欸夫逼,蝦皮
2021/1/25 上午 10:19:40,南投縣,15 歲以上 ～ 18 歲,Ig,抖音,YouTube,FB,Line
2021/1/25 上午 10:19:43,南投縣,15 歲以上 ～ 18 歲,Ig,抖音,🈚️,今晚就哦呃,珍妮佛羅培茲
2021/1/25 上午 10:20:06,南投縣,15 歲以上 ～ 18 歲,抖音,手遊,Ig ,手遊,Line 
2021/1/25 上午 10:20:12,南投縣,15 歲以上 ～ 18 歲,LINE ,fb,ig,Youtube,抖音
2021/1/25 上午 10:20:30,南投縣,15 歲以上 ～ 18 歲,ig,ig,ig,ig,ig
2021/1/25 上午 10:20:43,南投縣,15 歲以上 ～ 18 歲,ig,pornhub ,line,fb,抖音
2021/1/25 上午 10:20:59,南投縣,15 歲以上 ～ 18 歲,Line,Ig,YouTube ,Tik Tok,Pornhub
2021/1/25 上午 10:21:05,南投縣,15 歲以上 ～ 18 歲,LINE,IG,FB,寶可夢,You tube
2021/1/25 上午 10:21:06,南投縣,15 歲以上 ～ 18 歲,ig,YouTube ,Fb,抖音,Line 
2021/1/25 上午 10:21:09,南投縣,15 歲以上 ～ 18 歲,messenger,明日方舟,line,ig,cytusll
2021/1/25 上午 10:21:31,南投縣,15 歲以上 ～ 18 歲,ig,FB,愛奇藝,抖音,Line
2021/1/25 上午 10:22:16,南投縣,15 歲以上 ～ 18 歲,Line,lnstagram,YouTube,Google,Messenger
2021/1/25 上午 10:22:43,南投縣,15 歲以上 ～ 18 歲,Google ,facebook,Instagram,LINE,Youtube
2021/1/25 上午 10:22:48,南投縣,15 歲以上 ～ 18 歲,Ig,YouTube ,lol,Fb,P站
2021/1/25 上午 10:22:51,雲林縣,15 歲以上 ～ 18 歲,Facebook ,Going ,Ig,Facebook ,Facebook 
2021/1/25 上午 10:22:57,南投縣,15 歲以上 ～ 18 歲,messenger ,抖音,神魔之塔,youtube,LINE
2021/1/25 上午 10:23:26,南投縣,15 歲以上 ～ 18 歲,巴哈姆特,動畫瘋,YouTube ,ig,pixiv 
2021/1/25 上午 10:24:13,南投縣,15 歲以上 ～ 18 歲,Porn.hub,Xvideo,Xnxx,85st,69av
2021/1/25 下午 2:48:04,臺中市,15 歲以上 ～ 18 歲,YouTube ,Line,Art of war3,Lichess,Pinterest
2021/1/25 下午 8:46:27,彰化縣,15 歲以上 ～ 18 歲,Line ,Instagram ,記帳程式,Google ,YouTube 
2021/1/25 下午 9:48:44,臺中市,15 歲以上 ～ 18 歲,Instagram,Youtube,Netflix ,Dcard,麥當勞報報😍
2021/1/25 下午 11:14:00,臺中市,15 歲以上 ～ 18 歲,Instagram ,LOFTER ,Facebook ,Lovelive ,Shopee 
2021/1/26 上午 2:12:45,臺中市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Line,Dcard,米特
2021/1/26 上午 3:29:25,臺中市,15 歲以上 ～ 18 歲,Facebook,YouTube,Instagram,Netflix,Chrome
2021/1/26 下午 1:27:30,金門縣,15 歲以上 ～ 18 歲,手機遊戲,IG,Fb,抖音,A片
2021/1/26 下午 2:24:10,苗栗縣,12 ～ 15 歲,YT,FB,Message,IG,無
2021/1/26 下午 2:25:05,苗栗縣,12 ～ 15 歲,Message ,FB,傳說對決,PUBG MOBILE ,WEBTOON 
2021/1/26 下午 2:31:58,苗栗縣,12 ～ 15 歲,Chrome, 抖音,傳說對決,Facebook,×
2021/1/26 下午 2:33:35,苗栗縣,12 ～ 15 歲,Tiktok,快看漫畫,Lofter,騰訊漫畫,半次元
2021/1/26 下午 2:37:28,苗栗縣,12 ～ 15 歲,傳說對決,Messenger ,Tik tok抖音,YOUTUBE,Music downloader
2021/1/26 下午 2:43:22,苗栗縣,12 ～ 15 歲,YouTube,FB,Instagram,Google,蝦皮
2021/1/26 下午 3:03:07,苗栗縣,15 歲以上 ～ 18 歲,Ig,YouTube,Fb,Message,傳說
2021/1/26 下午 3:05:06,苗栗縣,12 ～ 15 歲,Message,抖音,PUBG MOBlLE,YouTube,Zenly
2021/1/26 下午 3:13:35,苗栗縣,15 歲以上 ～ 18 歲,Instagram,YouTube,TikTok,Webtoon,LINE
2021/1/26 下午 3:16:44,苗栗縣,15 歲以上 ～ 18 歲,Instagram,Youtube,Facebook ,Line,傳說對決
2021/1/26 下午 4:03:02,苗栗縣,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Facebook ,google ,Dcard 
2021/1/26 下午 4:39:46,苗栗縣,15 歲以上 ～ 18 歲,Instagram,Line,Facebook,YouTube ,X
2021/1/26 下午 5:12:20,苗栗縣,12 ～ 15 歲,Instagram,Messenger,Facebook,Foodpanda,LINE
2021/1/26 下午 5:22:50,苗栗縣,12 ～ 15 歲,Youtube,Facebook,X,X,X
2021/1/26 下午 5:57:37,苗栗縣,15 歲以上 ～ 18 歲,IG,YouTube ,Messenger ,Facebook ,Line
2021/1/26 下午 7:08:43,臺中市,15 歲以上 ～ 18 歲,Youtube,Instergram,Ti,tiktok,傳說
2021/1/26 下午 8:33:15,苗栗縣,15 歲以上 ～ 18 歲,FB ,IG,蝦皮,Youtube,Google
2021/1/26 下午 9:34:32,臺北市,15 歲以上 ～ 18 歲,YouTube,webtoon,lofter,Facebook,line
2021/1/26 下午 9:39:24,宜蘭縣,15 歲以上 ～ 18 歲,Line,Facebook ,Google ,Instagram ,Messenger 
2021/1/26 下午 10:06:08,苗栗縣,15 歲以上 ～ 18 歲,YouTube ,IG,Line,Message ,Fb
2021/1/26 下午 10:12:13,桃園市,12 ～ 15 歲,IG,抖音,FB,X,X
2021/1/26 下午 10:15:02,臺中市,15 歲以上 ～ 18 歲,saferi,webtoon,line,X,X
2021/1/26 下午 10:19:40,桃園市,15 歲以上 ～ 18 歲,抖音短視頻,fb,Google 看小說,未定事件簿,Instagram 
2021/1/26 下午 10:33:10,新竹市,15 歲以上 ～ 18 歲,Fb,Ig,Line,Google,Tg
2021/1/26 下午 11:30:04,桃園市,15 歲以上 ～ 18 歲,Google,messenger,YouTube,Instagram,line
2021/1/27 上午 12:33:20,新北市,12 ～ 15 歲,Youtube ,Instagram ,Line ,Facebook ,twitter
2021/1/27 上午 12:43:13,宜蘭縣,12 ～ 15 歲,Fb,陰陽師,少女樂團派對,Line,ig
2021/1/27 上午 12:43:44,彰化縣,15 歲以上 ～ 18 歲,Line,FB,Messenger,Instagram,YouTube
2021/1/27 上午 12:48:29,臺北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,messenger,Line ,Facebook 
2021/1/27 上午 1:56:27,基隆市,12 ～ 15 歲,fb,yt,tiktok,ig,twitch
2021/1/27 上午 8:15:23,臺中市,15 歲以上 ～ 18 歲,美人剎,極速領域,fb,line,messenger 
2021/1/27 上午 9:11:20,基隆市,15 歲以上 ～ 18 歲,Facebook,messenger,跑跑卡丁車 Rush+,instagram,x
2021/1/27 上午 9:38:57,臺中市,12 ～ 15 歲,ig,抖音,FB,messenger ,LINE
2021/1/27 上午 10:05:28,桃園市,12 ～ 15 歲,傳說對決,Messenger,Yt,FB,TikTok
2021/1/27 上午 10:22:37,高雄市,請問剛好15歲要選哪一個啊？,FB,messenger,knight of age,ig,Yee music
2021/1/27 上午 10:35:53,桃園市,15 歲以上 ～ 18 歲,ig,神魔之塔,FB/massager,荒野亂鬥,YouTube
2021/1/27 上午 10:37:30,嘉義縣,15 歲以上 ～ 18 歲,Ig,Line,YouTube,荒野亂鬥,Google
2021/1/27 下午 3:04:29,臺中市,12 ～ 15 歲,message ,fb,youtube ,IG,推特
2021/1/27 下午 4:10:58,高雄市,15 歲以上 ～ 18 歲,Messenger,Instagram,Facebook,地圖,YouBike 2.0
2021/1/27 下午 4:49:49,新北市,12 ～ 15 歲,Facebook,Messenger,YouTube,微博,Spotify
2021/1/27 下午 5:11:49,臺中市,15 歲以上 ～ 18 歲,Youtube,IG/FB,Google,X,X
2021/1/27 下午 5:18:48,彰化縣,12 ～ 15 歲,IG,抖音,FB,YT,Google
2021/1/27 下午 5:27:12,新北市,12 ～ 15 歲,FB,IG,Message ,Pinterest ,遊戲
2021/1/27 下午 5:36:39,高雄市,12 ～ 15 歲,messenger ,YouTube ,fb,ig,TikTok
2021/1/27 下午 9:38:00,臺北市,15 歲以上 ～ 18 歲,instagram,facebook,massage,twitter,激鬥峽谷
2021/1/27 下午 9:51:49,臺北市,15 歲以上 ～ 18 歲,Line,Facebook,Google,Instagram,YouTube
2021/1/27 下午 10:59:41,嘉義縣,15 歲以上 ～ 18 歲,Ig,LINE,微博,Safari ,Webtoon 
2021/1/27 下午 11:11:40,高雄市,12 ～ 15 歲,臉書,ig,翻譯,youtube,line
2021/1/27 下午 11:47:51,高雄市,12 ～ 15 歲,FB,IG,Line,×,×
2021/1/28 上午 12:37:35,高雄市,15 歲以上 ～ 18 歲,Facebook ,YouTube ,Instagram ,Message ,傳說對決
