"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
"10","007","00","0028","010",333,45.37,401,54.63,17.68,"N"
"10","007","00","0029","010",632,47.84,689,52.16,20.53,"N"
"10","007","00","0030","010",628,49.53,640,50.47,19.12,"N"
"10","007","00","0031","010",827,49.26,852,50.74,19.53,"N"
"10","007","00","0032","010",466,48.49,495,51.51,19.22,"N"
"10","007","00","0033","010",581,53.3,509,46.7,23.84,"N"
"10","007","00","0034","010",317,46.89,359,53.11,20.98,"N"
"10","007","00","0035","010",208,45.81,246,54.19,21.36,"N"
"10","007","00","0036","010",266,48.9,278,51.1,22.75,"N"
"10","007","00","0037","010",407,54.56,339,45.44,22.99,"N"
"10","007","00","0038","010",323,50.95,311,49.05,22.65,"N"
"10","007","00","0039","010",1580,48.81,1657,51.19,21.19,"N"
"10","007","00","0040","010",320,48.78,336,51.22,21.77,"N"
"10","007","00","0041","010",1020,48.94,1064,51.06,20.66,"N"
"10","007","00","0042","010",1487,47.54,1641,52.46,19.79,"N"
"10","007","00","0043","010",582,47.55,642,52.45,20.97,"N"
"10","007","00","0044","010",583,46.57,669,53.43,20.49,"N"
"10","007","00","0045","010",317,49.69,321,50.31,22.34,"N"
"10","007","00","0046","010",565,58.85,395,41.15,21.75,"N"
"10","007","00","0047","010",1906,50.52,1867,49.48,21.27,"N"
"10","007","00","0048","010",550,53.97,469,46.03,24.55,"N"
"10","007","00","0049","010",212,47.22,237,52.78,21.61,"N"
"10","007","00","0050","010",635,48.29,680,51.71,19.89,"N"
"10","007","00","0051","010",329,51.89,305,48.11,19.9,"N"
"10","007","00","0052","010",386,49.05,401,50.95,20.33,"N"
"10","007","00","0053","010",603,46.1,705,53.9,18.3,"N"
"10","007","00","0054","010",545,43.99,694,56.01,18.47,"N"
"10","007","00","0055","010",1230,45.35,1482,54.65,18.27,"N"
"10","007","00","0056","010",436,45.37,525,54.63,17.97,"N"
"10","007","00","0057","010",209,47.94,227,52.06,17.67,"N"
"10","007","00","0058","010",453,44.59,563,55.41,18.77,"N"
"10","007","00","0059","010",217,45.21,263,54.79,17.76,"N"
"10","007","00","0060","010",190,49.87,191,50.13,20.3,"N"
"10","007","00","0061","010",613,49.48,626,50.52,21.03,"N"
"10","007","00","0062","010",1746,52.2,1599,47.8,20.73,"N"
"10","007","00","0063","010",419,45.1,510,54.9,17.63,"N"
"10","007","00","0064","010",909,51.27,864,48.73,22.47,"N"
"10","007","00","0065","010",562,49.91,564,50.09,21.34,"N"
"10","007","00","0066","010",201,48.32,215,51.68,17.76,"N"
"10","007","00","0067","010",223,47.55,246,52.45,17.85,"N"
"10","007","00","0068","010",134,41.61,188,58.39,15.95,"N"
"10","007","00","0069","010",182,50.56,178,49.44,20.56,"N"
"10","007","00","0070","010",211,45.97,248,54.03,18.94,"N"
"10","007","00","0071","010",912,54.71,755,45.29,20.97,"N"
"10","007","00","0072","010",1153,51.13,1102,48.87,21.77,"N"
"10","007","00","0073","010",1188,54.4,996,45.6,22.7,"N"
"10","007","00","0000","020",11089,42.77,14841,57.23,15.7,"N"
"10","007","00","0001","020",175,37.55,291,62.45,15.78,"N"
"10","007","00","0002","020",74,33.64,146,66.36,14.62,"N"
"10","007","00","0003","020",124,39.37,191,60.63,14.64,"N"
"10","007","00","0004","020",138,36.6,239,63.4,15.23,"N"
"10","007","00","0005","020",1183,41.13,1693,58.87,15.1,"N"
"10","007","00","0006","020",760,41.92,1053,58.08,14.63,"N"
"10","007","00","0007","020",695,36.2,1225,63.8,13.77,"N"
"10","007","00","0008","020",529,33.15,1067,66.85,12.05,"N"
"10","007","00","0009","020",79,36.57,137,63.43,15.16,"N"
"10","007","00","0010","020",140,35.09,259,64.91,16.73,"N"
"10","007","00","0011","020",155,34.68,292,65.32,13.77,"N"
"10","007","00","0012","020",210,44.68,260,55.32,19.37,"N"
"10","007","00","0013","020",206,41.62,289,58.38,18.23,"N"
"10","007","00","0014","020",56,45.53,67,54.47,20.97,"N"
"10","007","00","0015","020",110,39.29,170,60.71,17.8,"N"
"10","007","00","0016","020",106,42.74,142,57.26,18.47,"N"
"10","007","00","0017","020",116,28.36,293,71.64,13.23,"N"
"10","007","00","0018","020",394,39.56,602,60.44,18.16,"N"
"10","007","00","0019","020",700,52.71,628,47.29,18.05,"N"
"10","007","00","0020","020",441,48.95,460,51.05,16.97,"N"
"10","007","00","0021","020",683,51.51,643,48.49,16.64,"N"
"10","007","00","0022","020",758,52.13,696,47.87,18.38,"N"
"10","007","00","0023","020",621,53.12,548,46.88,19.47,"N"
"10","007","00","0024","020",389,54.33,327,45.67,17.75,"N"
"10","007","00","0025","020",467,44.1,592,55.9,15.4,"N"
"10","007","00","0026","020",471,39.92,709,60.08,13.17,"N"
"10","007","00","0027","020",284,42.39,386,57.61,13.68,"N"
"10","007","00","0028","020",379,42.44,514,57.56,15.63,"N"
"10","007","00","0029","020",646,41.2,922,58.8,14.74,"N"
"10","007","00","0000","030",12969,47.42,14378,52.58,17.25,"N"
"10","007","00","0001","030",1075,50.23,1065,49.77,17.59,"N"
"10","007","00","0002","030",789,47.93,857,52.07,18.25,"N"
"10","007","00","0003","030",99,54.7,82,45.3,24.87,"N"
"10","007","00","0004","030",292,46.72,333,53.28,16.26,"N"
"10","007","00","0005","030",589,48.48,626,51.52,18.62,"N"
"10","007","00","0006","030",461,45.33,556,54.67,16.55,"N"
"10","007","00","0007","030",276,51.11,264,48.89,16.51,"N"
"10","007","00","0008","030",176,51.92,163,48.08,20.78,"N"
"10","007","00","0009","030",349,43.52,453,56.48,16.47,"N"
"10","007","00","0010","030",524,49.53,534,50.47,18.26,"N"
"10","007","00","0011","030",236,50.64,230,49.36,16.12,"N"
"10","007","00","0012","030",290,47.31,323,52.69,15.62,"N"
"10","007","00","0013","030",379,46.79,431,53.21,17.2,"N"
"10","007","00","0014","030",201,43.98,256,56.02,15.25,"N"
"10","007","00","0015","030",981,48.9,1025,51.1,18.76,"N"
"10","007","00","0016","030",350,48.21,376,51.79,17.87,"N"
"10","007","00","0017","030",492,46.42,568,53.58,18.43,"N"
"10","007","00","0018","030",371,48.37,396,51.63,18.24,"N"
"10","007","00","0019","030",526,44.39,659,55.61,15.25,"N"
"10","007","00","0020","030",140,39.22,217,60.78,16.13,"N"
"10","007","00","0021","030",471,48.86,493,51.14,19.72,"N"
"10","007","00","0022","030",399,43.61,516,56.39,17.52,"N"
"10","007","00","0023","030",155,42.7,208,57.3,13.98,"N"
"10","007","00","0024","030",478,45.44,574,54.56,16.8,"N"
"10","007","00","0025","030",812,52.19,744,47.81,18.85,"N"
"10","007","00","0026","030",311,52.8,278,47.2,17.79,"N"
"10","007","00","0027","030",135,55.33,109,44.67,16.03,"N"
"10","007","00","0028","030",173,38.79,273,61.21,14.46,"N"
"10","007","00","0029","030",283,45.14,344,54.86,13.89,"N"
"10","007","00","0030","030",490,43.59,634,56.41,16.16,"N"
"10","007","00","0031","030",246,43.54,319,56.46,15.89,"N"
"10","007","00","0032","030",420,47.09,472,52.91,15.46,"N"
"10","007","00","0000","040",2631,54.31,2213,45.69,18.75,"N"
"10","007","00","0001","040",270,62.07,165,37.93,22.75,"N"
"10","007","00","0002","040",500,60.53,326,39.47,21.97,"N"
"10","007","00","0003","040",420,53.92,359,46.08,18.07,"N"
"10","007","00","0004","040",221,50,221,50,17.82,"N"
"10","007","00","0005","040",200,52.22,183,47.78,16.35,"N"
"10","007","00","0006","040",323,47.5,357,52.5,16.88,"N"
"10","007","00","0007","040",434,54.45,363,45.55,17.23,"N"
"10","007","00","0008","040",263,52.39,239,47.61,19.51,"N"
"10","007","00","0000","050",5042,49.13,5220,50.87,16.12,"N"
"10","007","00","0001","050",249,47.16,279,52.84,14.24,"N"
"10","007","00","0002","050",126,30.29,290,69.71,10.89,"N"
"10","007","00","0003","050",231,48.33,247,51.67,15.57,"N"
"10","007","00","0004","050",295,42.45,400,57.55,14.4,"N"
"10","007","00","0005","050",355,52.44,322,47.56,17.84,"N"
"10","007","00","0006","050",231,50.44,227,49.56,18.15,"N"
"10","007","00","0007","050",334,50.38,329,49.62,18.29,"N"
"10","007","00","0008","050",322,64.4,178,35.6,18.79,"N"
"10","007","00","0009","050",436,51.6,409,48.4,16.44,"N"
"10","007","00","0010","050",815,47.41,904,52.59,15.75,"N"
"10","007","00","0011","050",368,59.26,253,40.74,15.7,"N"
"10","007","00","0012","050",430,45.12,523,54.88,16.4,"N"
"10","007","00","0013","050",489,49.7,495,50.3,16.29,"N"
"10","007","00","0014","050",361,49.79,364,50.21,16.12,"N"
"10","007","00","0000","060",5771,43.78,7411,56.22,14.61,"N"
"10","007","00","0001","060",169,31.83,362,68.17,11.42,"N"
"10","007","00","0002","060",198,40.33,293,59.67,13.63,"N"
"10","007","00","0003","060",195,43.62,252,56.38,15.76,"N"
"10","007","00","0004","060",194,38.19,314,61.81,12.89,"N"
"10","007","00","0005","060",147,34.92,274,65.08,12.59,"N"
"10","007","00","0006","060",196,43.27,257,56.73,15.4,"N"
"10","007","00","0007","060",214,39.78,324,60.22,15.74,"N"
"10","007","00","0008","060",140,38.15,227,61.85,16.83,"N"
"10","007","00","0009","060",548,75.69,176,24.31,22.86,"N"
"10","007","00","0010","060",413,44.03,525,55.97,15.57,"N"
"10","007","00","0011","060",325,40.12,485,59.88,12.75,"N"
"10","007","00","0012","060",186,50.27,184,49.73,15.87,"N"
"10","007","00","0013","060",109,28.61,272,71.39,10.41,"N"
"10","007","00","0014","060",239,37.88,392,62.12,10.96,"N"
"10","007","00","0015","060",295,50.17,293,49.83,15.89,"N"
"10","007","00","0016","060",334,51.54,314,48.46,14.67,"N"
"10","007","00","0017","060",181,54.68,150,45.32,14.18,"N"
"10","007","00","0018","060",182,39.91,274,60.09,14.27,"N"
"10","007","00","0019","060",510,39.41,784,60.59,14,"N"
"10","007","00","0020","060",369,45.11,449,54.89,14.3,"N"
"10","007","00","0021","060",318,42.51,430,57.49,13.45,"N"
"10","007","00","0022","060",309,44.85,380,55.15,16.12,"N"
"10","007","00","0000","070",5756,46.16,6715,53.84,17.74,"N"
"10","007","00","0001","070",275,40.03,412,59.97,16.41,"N"
"10","007","00","0002","070",364,42.77,487,57.23,17.86,"N"
"10","007","00","0003","070",550,52.88,490,47.12,20.82,"N"
"10","007","00","0004","070",330,51.89,306,48.11,18.05,"N"
"10","007","00","0005","070",268,53.28,235,46.72,18.64,"N"
"10","007","00","0006","070",729,49.12,755,50.88,18.83,"N"
"10","007","00","0007","070",585,45.95,688,54.05,18.55,"N"
"10","007","00","0008","070",386,43.13,509,56.87,16.94,"N"
"10","007","00","0009","070",238,47.22,266,52.78,16.09,"N"
"10","007","00","0010","070",791,46.94,894,53.06,17.49,"N"
"10","007","00","0011","070",375,44.64,465,55.36,19.34,"N"
"10","007","00","0012","070",293,46.21,341,53.79,17.47,"N"
"10","007","00","0013","070",264,39.58,403,60.42,15.2,"N"
