選舉類型,地區,姓名,當選註記,,,,,,
2002直轄市議員選舉,高雄市第04選區,陳乃靜,*,,,,,,
2002直轄市議員選舉,高雄市第04選區,吳益政,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,葉津鈴,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,高宗英,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,林宛蓉,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,李復興,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,朱文慶,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,楊敏郎,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,簡金城,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,江振陸,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,朱安雄,*,,,,,,
2002直轄市議員選舉,高雄市第05選區,蔡慶源,*,,,,,,
2002直轄市議員選舉,臺北市,李銀來,*,,,,,,
2002直轄市議員選舉,高雄市,曹明輝,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,陳建銘,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,吳碧珠,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,林瑞圖,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,潘懷宗,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,賴素如,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,莊瑞雄,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,陳碧峰,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,陳政忠,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,汪志冰,*,,,,,,
2006直轄市議員選舉,臺北市第1選區,吳思瑤,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,李建昌,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,黃珊珊,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,吳世正,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,李彥秀,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,陳義洲,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,王孝維,*,,,,,,
2006直轄市議員選舉,臺北市第2選區,闕枚莎,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,王正德,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,陳孋輝,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,許淑華,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,陳永德,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,洪健益,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,戴錫欽,*,,,,,,
2006直轄市議員選舉,臺北市第3選區,王鴻薇,*,,,,,,
